,total_price
0,647603.7704719775
1,3321452.0
2,9570885.316206373
3,14215011.127100045
4,762711.9757135696
5,396452.0
6,8510295.87633061
7,1678426.1776054068
8,987021.4150420949
9,11815402.03862225
10,7642884.48282831
11,11240596.766040824
12,3228914.81676132
13,4807052.8285254985
14,7493026.53878188
15,10516424.836911347
16,2846855.742828628
17,4141154.7771430383
18,6521007.320336757
19,6052645.302820528
20,13601115.367649335
21,5373042.220700828
22,5240572.75158283
23,4553294.89365591
24,2776189.8142190217
25,5596452.0
26,52990474.72038001
27,1093639.7841344029
28,2933019.388682737
29,6052645.302820528
30,6521008.2690200815
31,2432519.97749979
32,9035286.764831843
33,3742904.366866391
34,41609010.48169731
35,7006046.139736188
36,28255715.612614464
37,4141156.39825388
38,25196452.0
39,6521013.0124374
40,6052645.302820528
41,7493200.662275905
42,54634673.86662602
43,1395401.5402226066
44,25196452.0
45,7216210.537157812
46,2776180.6679028864
47,2169632.174236504
48,17418385.6893393
49,1288849.6130985424
50,4304745.007603798
51,1677964.7404109626
52,6145354.419774593
53,14438247.15651029
54,12401164.204718307
55,4486438.7039421
56,1235707.9457921635
57,19443269.91881453
58,8510387.328780912
59,25201121.64535852
60,2105640.3092036783
61,6052645.302820528
62,10116885.458271872
63,20134731.765315764
64,2636755.259842924
65,4721956.612813912
66,5596831.804452065
67,6052645.302820528
68,29038695.32467917
69,6521007.320336757
70,2105729.4053510693
71,1235713.6616117463
72,762265.1332386434
73,2332655.4079178884
74,720291.7541321609
75,3900503.835490426
76,38110565.467150986
77,3900560.9838656974
78,4514741.134459469
79,11370573.31419758
80,7793548.813915169
81,679442.6831399546
82,13515903.50071879
83,2846855.742828628
84,2266928.99818182
85,2432519.97749979
86,3246752.8048387617
87,2266977.382148535
88,4189909.868833456
89,762137.424949238
90,20134733.156358555
91,1133511.2297181643
92,1979785.956386184
93,10449396.942795703
94,3139547.0381064974
95,2671369.1703311605
96,5868722.589300755
97,2042355.5727794662
98,5597109.913358844
99,10227335.177411232
100,1898480.112512584
101,4304384.326637137
102,1562564.4873513163
103,2042355.5727794662
104,127510865.95223089
105,2776184.8892782214
106,5596452.0
107,86264564.56208655
108,1509298.2246655878
109,9570885.316206373
110,11583799.364509435
111,3285678.1040917933
112,38975505.624347255
113,10673147.685378747
114,4985288.740220667
115,6052661.94674622
116,1406317.579310363
117,38111108.32961655
118,10116885.458271872
119,1506032.0853708796
120,9897249.90532717
121,5470943.27783903
122,2234323.4385358067
123,6238547.662930205
124,48822434.2318458
125,1796476.0000599998
126,1034926.8058230493
127,1887290.549359459
128,22257277.00723851
129,44299569.80362019
130,6052671.193378418
131,22257298.588483885
132,5596453.8000001
133,3680498.1994640655
134,7493026.53878188
135,4935720.491816511
136,7001229.733328252
137,17154113.39536935
138,57873944.01378298
139,6052648.076807047
140,2105640.3092036783
141,7147565.939506387
142,1796468.8000293996
143,2776180.6679028864
144,3328617.235378612
145,16239962.83771878
146,2339265.626986724
147,2365774.4748755083
148,5152777.728840692
149,639763.239695075
